Player,Squad,Comp,Pos,Min,Gls,Ast,Sh,SoT,goals_per_90,assists_per_90,shots_per_90,sot_per_90,shot_accuracy,goal_efficiency,contribution,score
Giuseppe Ambrosino,Napoli,it Serie A,FW,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mohamed Amine Sbai,Angers,fr Ligue 1,"MF,FW",1684,2,1,31,14,0.10688836104513065,0.053444180522565325,1.6567695961995248,0.7482185273159145,0.45161290322580644,0.06451612903225806,3,0.033449544096237835
Mohamed Amoura,Wolfsburg,de Bundesliga,"FW,MF",1914,8,3,60,19,0.3761755485893417,0.14106583072100312,2.8213166144200623,0.8934169278996865,0.31666666666666665,0.13333333333333333,11,0.07170323928944619
Miguel Ángel Sierra,Sevilla,es La Liga,FW,62,0,0,4,1,0.0,0.0,5.806451612903226,1.4516129032258065,0.25,0.0,0,0.05161290322580645
Ilyas Ansah,Union Berlin,de Bundesliga,"MF,FW",1712,5,1,30,10,0.2628504672897196,0.052570093457943924,1.5771028037383177,0.5257009345794392,0.3333333333333333,0.16666666666666666,6,0.06078660436137072
Andrés Antañón,Celta Vigo,es La Liga,FW,63,0,0,2,2,0.0,0.0,2.8571428571428568,2.8571428571428568,1.0,0.0,0,0.025396825396825397
Antony,Real Betis,es La Liga,"MF,FW",2064,7,5,75,30,0.30523255813953487,0.2180232558139535,3.2703488372093026,1.3081395348837208,0.4,0.09333333333333334,12,0.06508139534883722
Youssef El-Arabi,Nantes,fr Ligue 1,FW,932,3,0,15,9,0.28969957081545067,0.0,1.448497854077253,0.8690987124463521,0.6,0.2,3,0.06703862660944207
Antonio Arena,Roma,it Serie A,FW,23,0,0,2,0,0.0,0.0,7.826086956521739,0.0,0.0,0.0,0,0.06956521739130435
Jeremy Arévalo,Stuttgart,de Bundesliga,FW,38,0,0,3,1,0.0,0.0,7.105263157894736,2.3684210526315788,0.3333333333333333,0.0,0,0.06315789473684211
Jhon Arias,Wolves,eng Premier League,"FW,MF",1124,1,0,16,3,0.08007117437722419,0.0,1.281138790035587,0.2402135231316726,0.1875,0.0625,1,0.027802491103202848
Adam Armstrong,Wolves,eng Premier League,"FW,MF",816,1,2,13,3,0.11029411764705882,0.22058823529411764,1.4338235294117645,0.33088235294117646,0.23076923076923078,0.07692307692307693,3,0.03597285067873303
Tolu Arokodare,Wolves,eng Premier League,FW,1284,3,1,38,13,0.2102803738317757,0.07009345794392523,2.663551401869159,0.911214953271028,0.34210526315789475,0.07894736842105263,4,0.05052467617642237
Takuma Asano,Mallorca,es La Liga,"MF,FW",557,1,0,11,2,0.16157989228007183,0.0,1.7773788150807899,0.32315978456014366,0.18181818181818182,0.09090909090909091,1,0.04188020238289539
Fisnik Asllani,Hoffenheim,de Bundesliga,"FW,MF",2094,10,6,67,26,0.42979942693409745,0.25787965616045844,2.879656160458453,1.1174785100286533,0.3880597014925373,0.14925373134328357,16,0.0793254358579595
Joel Asoro,Metz,fr Ligue 1,FW,227,0,0,4,1,0.0,0.0,1.5859030837004406,0.39647577092511016,0.25,0.0,0,0.014096916299559474
Iago Aspas,Celta Vigo,es La Liga,"FW,MF",893,4,3,26,11,0.40313549832026874,0.3023516237402015,2.620380739081747,1.108622620380739,0.4230769230769231,0.15384615384615385,7,0.07712981307606168
Yaser Asprilla,Girona,es La Liga,"FW,MF",611,0,0,15,5,0.0,0.0,2.20949263502455,0.7364975450081833,0.3333333333333333,0.0,0,0.019639934533551555
Pierre-Emerick Aubameyang,Marseille,fr Ligue 1,FW,1904,9,5,51,27,0.4254201680672269,0.23634453781512607,2.4107142857142856,1.2762605042016806,0.5294117647058824,0.17647058823529413,14,0.08014705882352943
Ezequiel Ávila,Real Betis,es La Liga,FW,353,1,0,8,2,0.254957507082153,0.0,2.039660056657224,0.509915014164306,0.25,0.125,1,0.05559490084985836
Taiwo Awoniyi,Nottingham Forest,eng Premier League,FW,282,2,1,10,5,0.6382978723404256,0.3191489361702128,3.191489361702128,1.595744680851064,0.5,0.2,3,0.10312056737588653
Ilyas Azizi,Toulouse,fr Ligue 1,FW,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Alex Baena,Atlético Madrid,es La Liga,"MF,FW",1372,2,3,23,6,0.13119533527696792,0.1967930029154519,1.5087463556851313,0.3935860058309038,0.2608695652173913,0.08695652173913043,5,0.03940296615540626
Leon Bailey,Roma,it Serie A,FW,186,0,0,3,1,0.0,0.0,1.4516129032258065,0.4838709677419355,0.3333333333333333,0.0,0,0.012903225806451613
Theo Bair,Auxerre,fr Ligue 1,FW,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cédric Bakambu,Real Betis,es La Liga,FW,524,3,1,21,9,0.5152671755725191,0.17175572519083968,3.6068702290076335,1.5458015267175573,0.42857142857142855,0.14285714285714285,4,0.08773173391494002
Johan Bakayoko,RB Leipzig,de Bundesliga,"FW,MF",766,2,0,24,9,0.2349869451697128,0.0,2.8198433420365534,1.0574412532637076,0.375,0.08333333333333333,2,0.05322019147084421
Dilane Bakwa,Strasbourg,fr Ligue 1,"FW,MF",107,1,2,2,1,0.8411214953271028,1.6822429906542056,1.6822429906542056,0.8411214953271028,0.5,0.5,3,0.1747663551401869
Tommaso Baldanzi,Roma,it Serie A,"FW,MF",386,1,0,11,4,0.23316062176165803,0.0,2.5647668393782386,0.9326424870466321,0.36363636363636365,0.09090909090909091,1,0.05237870937352804
Fabio Baldé,Hamburger SV,de Bundesliga,"FW,MF",408,0,1,6,3,0.0,0.22058823529411764,1.3235294117647058,0.6617647058823529,0.5,0.0,1,0.014215686274509804
Folarin Balogun,Monaco,fr Ligue 1,FW,1975,12,4,69,30,0.5468354430379747,0.18227848101265823,3.1443037974683548,1.3670886075949367,0.43478260869565216,0.17391304347826086,16,0.09149146945514586
Mohamed Bamba,Lorient,fr Ligue 1,FW,682,1,2,13,6,0.13196480938416422,0.26392961876832843,1.715542521994135,0.7917888563049854,0.46153846153846156,0.07692307692307693,3,0.040018046469659375
Lameck Banda,Lecce,it Serie A,"MF,FW",1481,3,3,31,8,0.18230925050641458,0.18230925050641458,1.8838622552329507,0.4861580013504389,0.25806451612903225,0.0967741935483871,6,0.047038836008799635
Bradley Barcola,Paris Saint-Germain,fr Ligue 1,FW,1483,10,1,60,28,0.6068779501011463,0.060687795010114634,3.6412677006068783,1.6992582602832098,0.4666666666666667,0.16666666666666666,11,0.09604405484378511
Roony Bardghji,Barcelona,es La Liga,"MF,FW",498,1,1,18,11,0.18072289156626503,0.18072289156626503,3.253012048192771,1.9879518072289157,0.6111111111111112,0.05555555555555555,2,0.05087014725568942
Ashley Barnes,Burnley,eng Premier League,"FW,MF",40,0,0,1,0,0.0,0.0,2.25,0.0,0.0,0.0,0,0.020000000000000004
Harvey Barnes,Newcastle United,eng Premier League,"FW,MF",1794,5,0,52,18,0.2508361204013378,0.0,2.608695652173913,0.9030100334448161,0.34615384615384615,0.09615384615384616,5,0.05468227424749164
Ander Barrenetxea,Real Sociedad,es La Liga,"MF,FW",1559,3,5,32,10,0.1731879409878127,0.28864656831302116,1.8473380372033354,0.5772931366260423,0.3125,0.09375,8,0.04684493264913406
